Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.101222450007236,0.0611878805385776,0.134712291964518,0,0,0,5.0459976870097,0.0199585188421208,3.5792448386603E-07,-8.49633695579585E-07,0.0204011323429145,8.69413175240519E-06,0.0133780567917246,0,0,0,0,0,0,package://4wheel_castle/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_castle/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.066688,-0.025617,0.027258,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LFS.STL,,Suspensionsystem-2,Origin_LFS,Axis_LFS,LFS,prismatic,-0.30216,-0.05081,0.029427,2.834,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012727,0.015553,-0.028733,0,0,0,0.19359,0.00025308,2.0397E-19,-4.8808E-19,0.00013682,4.2352E-22,0.00013682,0,0,0,0,0,0,package://4wheel_castle/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0,-0.01514,0.047653,1.2177,0,-3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.072447,-0.031683,0.02534,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,0.10792,-0.012126,0.029427,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012316,-4.4409E-16,2.8103E-16,0,0,0,0.19359,0.00025308,9.8823E-24,5.1839E-21,0.00013682,1.2705E-21,0.00013682,0,0,0,0,0,0,package://4wheel_castle/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,-0.028286,0.058405,-1.8458,0,-3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.075402,-0.020601,0.012626,0,0,0,0.19701,1.688E-05,2.077E-19,-1.6354E-19,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LBS.STL,,suspensioncastle-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.30216,-0.18919,-0.015774,-0.30763,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.0022127,-8.1059E-05,2.7756E-17,0,0,0,0.03248,8.8638E-06,1.2068E-06,-2.4352E-21,2.8292E-06,5.7746E-21,1.0705E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/LBC.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LBC.STL,,CastleCatcher-2,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.015068,-0.0047875,1.2653,-0.036921,3.0251,LBS,0,1,0,,,,,,,,,,,,
LBW,0.0324246743134164,1.38777878078145E-17,2.77555756156289E-17,0,0,0,0.193585420779862,0.000253081141332253,8.93619759353287E-20,9.82558218814988E-20,0.000136818598566516,-3.3881317890172E-21,0.000136818598566516,0,0,0,0,0,0,package://4wheel_castle/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/LBW.STL,,wheel-3,Origin_LBW,Axis_LBW,LBW,continuous,-0.0039904,-0.016873,0,0.2527,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://4wheel_castle/meshes/RBS.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RBS.STL,,suspensioncastle-1,Origin_LBS2,Axis_LBS2,LBS,prismatic,0.10216,-0.18919,-0.015774,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.00221267724899018,-8.10587101562586E-05,-2.77555756156289E-17,0,0,0,0.0324803918529465,8.86383358400041E-06,1.20679092415297E-06,-4.49986253228847E-22,2.82924094574381E-06,-1.42936809849163E-21,1.07052324634925E-05,0,0,0,0,0,0,package://4wheel_castle/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://4wheel_castle/meshes/RBC.STL,,CastleCatcher-1,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.015068,-0.0047875,-1.8784,-0.003856,3.1295,RBS,0,1,0,,,,,,,,,,,,
